playlist_id,playlist_name,collection_date,mean_track_date,playlist_type,nb_tracks,nb_clusters,nb_clusters_2,hh_index,hh_index_2,distances,distances_2,distances_3,stirling_index,stirling_index_2,playlist_followers
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-01-13,2022-02-10 05:16:48,Charts,50,3,10,3576.0,1432.0,0.438787959709432,0.861343415784357,0.89640012493027,[[0.20594531]],[[0.32547988]],823126
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-01-20,2022-03-31 05:16:48,Charts,50,2,10,5968.0,1280.0,0.319140146884342,0.800124487965523,0.900424619030005,[[0.12867731]],[[0.33099575]],823901
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-01-27,2022-03-30 10:33:36,Charts,50,2,6,6800.0,2256.0,0.376255076053031,0.717126290485879,0.912093509307431,[[0.12040162]],[[0.30138945]],824405
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-02-03,2022-04-21 09:07:12,Charts,50,2,10,5648.0,1304.0,0.332132573545898,0.844515573626206,0.92870269796072,[[0.1445441]],[[0.34526733]],824810
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-02-10,2022-04-19 13:55:12,Charts,50,2,10,5392.0,1368.0,0.299636035648787,0.77565862435142,0.906812813001174,[[0.13807229]],[[0.33033314]],825406
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-02-17,2022-04-23 19:40:48,Charts,50,3,6,3448.0,2232.0,0.411837913997877,0.699196843484564,0.885150698337023,[[0.20085963]],[[0.28029124]],825746
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-02-24,2022-12-08 08:09:36,Charts,50,2,8,7048.0,1488.0,0.368242343434598,0.710474547942267,0.881583836533277,[[0.10870514]],[[0.30829435]],826238
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-03-03,2022-09-04 00:57:36,Charts,50,2,4,5128.0,2832.0,0.276130478015631,0.533165148251365,0.901195134143531,[[0.13453077]],[[0.24522072]],826670
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-03-10,2022-09-10 21:07:12,Charts,50,2,9,5008.0,1480.0,0.281928941381588,0.711934011497209,0.90027023830441,[[0.14073893]],[[0.31834234]],826996
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-03-17,2022-10-31 15:40:24,Charts,49,2,9,5918.36734693878,1370.26239067055,0.271396089165431,0.738054254730285,0.848321172005181,[[0.11077391]],[[0.30766262]],827339
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-03-24,2022-09-29 18:14:24,Charts,50,2,9,5128.0,1640.0,0.252056977258517,0.813191981782275,0.876376764667835,[[0.12280216]],[[0.29652375]],827841
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-03-31,2022-06-24 11:31:12,Charts,50,3,10,4584.0,1216.0,0.514147631667815,0.758960462654723,0.876724592743803,[[0.1768497]],[[0.32118891]],828153
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-04-07,2022-05-11 02:24:00,Charts,50,2,5,5288.0,2968.0,0.285721542894448,0.677337944206368,0.8912607994823,[[0.13463199]],[[0.25383206]],828470
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-04-14,2022-04-15 16:48:00,Charts,50,2,6,5392.0,2080.0,0.294129502611297,0.636415229782526,0.913090770763141,[[0.13553487]],[[0.28855243]],828779
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-04-21,2022-11-22 08:38:24,Charts,50,3,9,3888.0,1464.0,0.493429691078419,0.823432919032717,0.948890207505266,[[0.22292495]],[[0.34126839]],829251
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-04-28,2022-06-08 12:00:00,Charts,50,2,5,5288.0,2456.0,0.281936302923589,0.644121912421664,0.910271863284351,[[0.13284839]],[[0.2672407]],829850
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-05-05,2022-09-24 05:16:48,Charts,50,2,6,5648.0,2256.0,0.28506024101468,0.770051795867762,0.882316753585487,[[0.12405822]],[[0.28563673]],830461
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-05-12,2022-09-19 03:21:36,Charts,50,3,9,4392.0,1400.0,0.511790135353151,0.797856881638854,0.873086079955483,[[0.17854312]],[[0.31025206]],831000
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-05-19,2022-09-18 13:26:24,Charts,50,2,9,5200.0,1400.0,0.276615448256259,0.768656912734161,0.915441119316212,[[0.13277542]],[[0.32819195]],831871
11e84493-6b0e-6dc0-a8d5-a0369fe50396,Top 50 - France,2023-05-26,2022-10-06 03:21:36,Charts,50,3,9,3384.0,1432.0,0.439434333356471,0.765328221201116,0.927804476820257,[[0.21631369]],[[0.33841925]],832478
